material,floor_1,floor_2,floor_3,ceiling_1,ceiling_2,ceiling_3,external_wall_1,external_wall_2,internal_wall_1,internal_wall_2,internal_wall_3,internal_wall_4,internal_wall_5,internal_wall_6,roof_1,roof_2
Bitumen sealing,,,,,,,,,,,,,,,0,0
Brickwork,,,,,,,,0.12,,,,0.15,,,,
Cement cast plaster floor,0.0275,,0.0275,0.12,0.085,0.035,,,,,,,,,,
Cement slates,,,,,,,,,,,,,,,,0.05
Concrete floor slab (FE 80 kg/m³),0.25,0.3,0.25,,,,,,,,,,,,,
Concrete slab (FE 80 kg/m³),,,,0.24,0.3,0.25,,,,,,,,,0.24,0.24
Concrete wall (FE 60 kg/m³),,,,,,,,,0.2,0.25,0.3,,,,,
Glass wool mat (30 kg/m³),,,,0.02,0.02,0.02,,,,,,,,,,
Gravel,,,,,,,,,,,,,,,0.03,0.03
Gypsum fibre board,,,,,,,0.025,0.015,0.02,0.02,0.02,0.02,0.02,0.02,,
Gypsum plaster,,,,,,,,,,,,,,,,
Gypsum plaster board,,,,,,,0.0005,,,,,,,,,
Lime plaster,,,,,,,,0.005,,,,,,,,
Mastic asphalt,,0.08,,,,,,,,,,,,,,
Oriented Strand Board (OSB),,,,,,,0.018,0.018,,,,,,,,
Poor concrete,0.05,0.15,0.05,,,,,,,,,,,,,
Protective Layer (PE),,,,,,,,,,,,,,,0,0
Rock wool (60 kg/m³),,,,0.18,0.18,0.18,,0.06,,,,,,,0.36,0.36
Sand-lime brick,,,,,,,,,,,,,0.15,,,
Solid Spruce / Fir / Larch,,,,,,,0.015,0.025,,,,,,,,
Solid Spruce / Fir / Larch (parquet),,,,0.02,0.02,0.02,,,,,,,,,,
Timber battens,,,,,,,0.045,0.07,,,,,,,,
Timber frame construction with cellulose insulation (50 kg/m3),,,,,,,0.38,0.32,,,,,,0.15,,
Vapour barrier of polyethylene (PE),,,0,0,0,0,0,,,,,,,,0,0
