material,floor_1_,floor_2,ceiling_1,ceiling_2,ceiling_3,external_wall_1,external_wall_2,external_wall_3,internal_wall_1,internal_wall_2,roof_1,roof_2,column_1_,column_2
Bitumen sealing,0.003,,,,,,,,,,0.003,0,,
Cement cast plaster floor,,,0.08,0.08,,,,,,,,,,
Cladding of solid Spruce / Fir / Larch,,,,,,0.025,,,,,,,,
Concrete C 8 / 10 (lean concrete),0.05,,,,,,,,,,,,,
Concrete floor slab (FE 80 kg/m³),0.25,0.25,,,,,,,,,,,,
Concrete slab (FE 80 kg/m³),,,,,0.29,,,,,,,,,
Concrete wall (FE 60 kg/m³),,,,,,,,0.2,,0.18,,,,
Fibre board,,,0.015,0.015,,,,,,,,,,
Fibre board soft,,,,,,0.035,0.035,,,,,,,
Fibre cement facing tile,,,,,,,0.018,,,,,0.018,,
Floor slab element of plywood filled with crushed stones,,,0.275,0.275,,,,,,,,,,
Floor slab element of plywood with intermediate rock wool insulation,,,,,,,,,,,0.22,,,
Foam glass,,,,,,,,0.38,,,,,,
Glass wool mat (30 kg/m³),,,0.03,0.04,,,,,,,,,,
Gravel,,,,,,,,,,,0.06,0.03,,
Gypsum fibre board,,,,0.0125,,0.015,0.015,,0.025,,0.0125,,,
Insulation (recycled glass foam fill),0.3,0.3,,,,,,,,,,,,
Lime plaster,,,,,,0.01,0.01,0.025,,,,,,
Non-woven filter (PE),,,,,,,,,,,0.0025,,,
Oriented Strand Board (OSB),,,,,,0.018,0.018,,,,,,,
Rockwool insulation (60 kg/m³),0.04,,,,,,,,,,,,,
Solid Spruce / Fir / Larch,0.08,,,,,,,,,,,,,
Steel (filled with quarry sand) - volume (m³),,,,,,,,,,,,,0.05,0.1
Stucco,,,,0.01,,,,,,,0.01,,,
Substrate for vegetation,,,,,,,,,,,0,,,
Timber battens,,,,,,,,,,,0.1,,,
Timber battens (30/60),,,,,,0.03,0.03,,,,,,,
Timber battens (40/80) with intermediate rock wool insulation (60 kg/m³),,,,,,0.08,0.08,,,,,,,
Timber battens with intermediate glass wool mat (30 kg/m³),,,,,,,,,,,0.24,,,
Timber battens with intermediate insulation,,,,0.16,,,,,,,,,,
Timber battens with intermediate insulation (0.3 m) and installation gap (0.05 m),,,,,,,,,,,0.35,,,
Timber cladding,,,,,,,,,,,,0.03,,
Timber frame construction,,,,,,,,,,,,0,,
Timber frame construction with intermediate cellulose fibre insulation,,,,,,0.3,0.3,,,,,,,
Timber frame construction with intermediate rock wool insulation (60 kg/m³) ,,,,,,,,,0.12,,,,,
Vapour barrier of polyethylene (PE),0.0004,0.0002,,,,,,,,,0.0002,,,
