mfh01,Floor 1 ,Floor 2,Floor 3,Floor 4,Ceiling 1,Ceiling 2,Ceiling 3,Ceiling 4,Ceiling 5,Ceiling 6,Ceiling 7,Ceiling 8,Ceiling 9,Ceiling 10,Ceiling 11,Ceiling 12,External wall 1,External wall 2,External wall 3,Internal wall 1,Internal wall 2,Internal wall 3,Internal wall 4,Roof 1,Roof 2,Roof 3,Roof 4
Given U Values,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated_U_Values,1.657142857,1.372781065,1.89233279,2.610012006,0.205966797,0.199942545,0.203211679,0.179612903,0.229778805,0.226194345,0.572846371,0.52855407,0.445925167,0.364209996,0.345786963,0.308401276,0.235120405,0.237371224,0.177121771,5.144797284,2.420597632,2.756259362,6.941525195,0.352517434,0.134696097,0.1356094,0.058922559
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh02,Floor,Ceiling 1,Ceiling 2,External wall 1,External wall 2,Internal wall 1,Internal wall 2,Internal wall 3,Roof,,,,,,,,,,,,,,,,,,
Given U Values,0.197,,,0.114,0.127,,,,0.105,,,,,,,,,,,,,,,,,,
Calculated U Values,0.118864638,0.150604365,0.351759063,0.196939888,0.118769824,2.857142857,1.666666667,0.873092668,0.300441826,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh03,floor_1_,floor_2,ceiling_1,ceiling_2,ceiling_3,external_wall_1,external_wall_2,external_wall_3,internal_wall_1,internal_wall_2,roof_1,roof_2,column_1_,column_2,,,,,,,,,,,,,
Given U Values,0.1,,,,,0.1,,0.1,,,0.11,,,,,,,,,,,,,,,,
Calculated_U_Values,0.119010116,0.158290463,0.265516331,0.195637495,2.75862069,0.262165546,0.276672337,0.126811594,1.183752418,4.444444444,0.168485448,3.712948518,1004,502,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh04,floor,ceiling_1,ceiling_2,ceiling_3,external_wall,internal_wall_1,internal_wall_2,internal_wall_3,roof_1,roof_2,roof_3,,,,,,,,,,,,,,,,
Given U Values,,,,,0.21,,,,0.13,0.19,0.19,,,,,,,,,,,,,,,,
Calculated U Values,1.848605578,0.246873433,0.676209599,0.769769585,0.256801348,5.006802721,4.329411765,0.879330944,0.177129956,0.174242101,0.184051607,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh05,floor_1,floor_2,floor_3,ceiling_1,ceiling_2,ceiling_3,external_wall_1,external_wall_2,internal_wall_1,internal_wall_2,internal_wall_3,internal_wall_4,internal_wall_5,internal_wall_6,roof_1,roof_2,,,,,,,,,,,
Given U Values,,,,,,,0.13,0.11,,,,,,,,,,,,,,,,,,,
Calculated U Values,2.128440367,1.659751037,2.128440367,0.163119903,0.164344746,0.167368041,0.329579786,0.220892262,3.407407407,2.809160305,2.38961039,4.329411765,1.554054054,1.006578947,0.107033639,0.105094222,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh06,floor,ceiling_1,ceiling_2,ceiling_3,external_wall_1,external_wall_2,internal_wall_1,internal_wall_2,roof_1,roof_2,column,,,,,,,,,,,,,,,,
Given U Values,,,,,0.1,,,,0.1,0.1,,,,,,,,,,,,,,,,,
Calculated U Values,3.2,0.102633977,0.155290896,3.2,0.33611519,3.2,3.593531643,2.083333333,2,0.173918477,3.391891892,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh07,floor_1,floor_2,ceiling_1,ceiling_2,external_wall_1,external_wall_2,internal_wall_1,internal_wall_2,roof_1,roof_2,column,,,,,,,,,,,,,,,,
Given U Values,0.52,,,,0.21,0.27,,,0.11,,,,,,,,,,,,,,,,,,
Calculated U Values,0.218936773,0.280306081,0.499433115,0.181743168,0.23255814,0.231884058,2.647482014,4.515337423,0.118697769,20,0.047619048,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh08,floor_1,floor_2,ceiling_1,ceiling_2,external_wall_1,external_wall_2,external_wall_3,internal_wall_1,internal_wall_2,internal_wall_3,roof_1_,roof_2,roof_3,columns_1,columns_2,,,,,,,,,,,,
Given U Values,0.129,0.103,,,0.101,0.101,0.101,,,,0.103,,0.103,,,,,,,,,,,,,,
Calculated U Values,0.053770693,0.116077772,0.242380342,0.40776153,0.364963504,0.071111111,0.151221631,2.38961039,1.666666667,0.902654867,0.103352115,0.85,0.069164265,3.076923077,0.008080808,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh09,floor,ceiling,external_wall,internal_wall_1,internal_wall_2,internal_wall_3,roof,,,,,,,,,,,,,,,,,,,,
Given U Values,0.18,,0.11,,,,0.1,,,,,,,,,,,,,,,,,,,,
Calculated U Values,0.143313086,0.206473265,0.713220213,0.231660232,0.335195531,4,0.117168205,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh10,floor_1,floor_2,ceiling_1,ceiling_2,external_wall_1,external_wall_2,external_wall_3,internal_wall_1,internal_wall_2,roof_1,roof_2,column,,,,,,,,,,,,,,,
Given U Values,181,201,753,171,624.3,271.3,204.1,667,199,323,90,,,,,,,,,,,,,,,,
Calculated U Values,0.221263927,1.826771654,0.618133375,0.201975026,0.167375002,0.141643059,0.241935484,1.724137931,4,0.15046459,0.386514551,0.21978022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh11,floor_1,floor_2,ceiling_1,ceiling_2,external_wall_1,external_wall_2,internal_wall_1,internal_wall_2,internal_wall_3,roof_1,roof_2,,,,,,,,,,,,,,,,
Given U Values,0.28,0.16,,,0.11,0.101,,,,0.16,0.1,,,,,,,,,,,,,,,,
Calculated U Values,0.158415842,0.101199831,0.663750856,0.531507952,0.121312587,0.142086018,3.636363636,5.466955949,5.449082014,0.169143009,0.089367295,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfh12,floor,ceiling_1,ceiling_2,ceiling_3,external_wall_1,external_wall_2,external_wall_3,internal_wall_1_,internal_wall_2,internal_wall_3,roof_1,roof_2,column,,,,,,,,,,,,,,
Given U Values,0.1,,,,0.13,0.13,0.11,,,,0.09,0.08,,,,,,,,,,,,,,,
Calculated_U_Values,0.078528715,0.405949256,0.142361086,0.416772339,0.370774264,0.277475517,0.179021519,3.593531643,0.294253404,4,0.134909928,0.109957634,0.8,,,,,,,,,,,,,,
